init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
-0.2,-0.564453125,0.5849609375,off_first,0.6,0,0.15,2114889853
-0.2,-0.73046875,0.25732421875,random,0.6,60,0.15,2114889853
-0.2,-0.50390625,0.6298828125,off_first,0.8,0,0.15,2114889853
-0.2,-0.669921875,0.3177083333333333,random,0.8,6,0.15,2114889853
-0.2,-0.498046875,0.6064453125,off_first,1.0,0,0.15,2114889853
-0.2,-0.5625,0.4267578125,random,1.0,1,0.15,2114889853
0.0,-1.0,0.0,off_first,0.0,0,0.15,2114889853
0.0,-1.0,0.0,random,0.0,1,0.15,2114889853
0.0,-0.8359375,0.224609375,off_first,0.2,0,0.15,2114889853
0.0,-1.0,0.0,random,0.2,1,0.15,2114889853
0.0,-0.736328125,0.3564453125,off_first,0.4,0,0.15,2114889853
0.0,-0.89453125,0.1162109375,random,0.4,30,0.15,2114889853
0.0,-0.6328125,0.494140625,off_first,0.5,0,0.15,2114889853
0.0,-0.857421875,0.10595703125,random,0.5,12,0.15,2114889853
0.0,-0.685546875,0.376953125,off_first,0.6,0,0.15,2114889853
0.0,-0.8671875,0.11474609375,random,0.6,12,0.15,2114889853
0.0,-0.587890625,0.419921875,off_first,0.8,0,0.15,2114889853
0.0,-0.755859375,0.22802734375,random,0.8,12,0.15,2114889853
0.0,-0.587890625,0.4072265625,off_first,1.0,0,0.15,2114889853
0.0,-0.666015625,0.27734375,random,1.0,1,0.15,2114889853
0.2,-1.0,0.0,off_first,0.0,0,0.15,2114889853
0.2,-1.0,0.0,random,0.0,1,0.15,2114889853
0.2,-0.9453125,0.044921875,off_first,0.2,0,0.15,2114889853
0.2,-1.0,0.0,random,0.2,1,0.15,2114889853
0.2,-0.84375,0.162109375,off_first,0.4,0,0.15,2114889853
0.2,-0.974609375,0.016927083333333332,random,0.4,3,0.15,2114889853
0.2,-0.828125,0.197265625,off_first,0.5,0,0.15,2114889853
0.2,-0.98828125,0.0078125,random,0.5,1,0.15,2114889853
0.2,-0.849609375,0.1240234375,off_first,0.6,0,0.15,2114889853
0.2,-0.931640625,0.04820033482142857,random,0.6,28,0.15,2114889853
0.2,-0.744140625,0.20703125,off_first,0.8,0,0.15,2114889853
0.2,-0.8671875,0.09375,random,0.8,2,0.15,2114889853
0.2,-0.681640625,0.251953125,off_first,1.0,0,0.15,2114889853
0.2,-0.830078125,0.103515625,random,1.0,1,0.15,2114889853
0.4,-1.0,0.0,off_first,0.0,0,0.15,2114889853
0.4,-1.0,0.0,random,0.0,1,0.15,2114889853
0.4,-1.0,0.0,off_first,0.2,0,0.15,2114889853
0.4,-1.0,0.0,random,0.2,1,0.15,2114889853
0.4,-0.8984375,0.087890625,off_first,0.4,0,0.15,2114889853
0.4,-1.0,0.0,random,0.4,1,0.15,2114889853
0.4,-0.916015625,0.0703125,off_first,0.5,0,0.15,2114889853
0.4,-0.974609375,0.013671875,random,0.5,1,0.15,2114889853
0.4,-0.9296875,0.064453125,off_first,0.6,0,0.15,2114889853
0.4,-0.9921875,0.00390625,random,0.6,1,0.15,2114889853
0.4,-0.888671875,0.072265625,off_first,0.8,0,0.15,2114889853
0.4,-0.947265625,0.02880859375,random,0.8,2,0.15,2114889853
0.4,-0.865234375,0.08984375,off_first,1.0,0,0.15,2114889853
0.4,-0.912109375,0.0576171875,random,1.0,1,0.15,2114889853
-0.4,-0.92578125,0.1162109375,off_first,0.0,0,0.12,2114889853
-0.4,-1.0,0.0,random,0.0,1,0.12,2114889853
-0.4,-0.703125,0.57421875,off_first,0.2,0,0.12,2114889853
-0.4,-0.9140625,0.13079922441123187,random,0.2,828,0.12,2114889853
-0.4,-0.615234375,0.7578125,off_first,0.4,0,0.12,2114889853
-0.4,-0.693359375,0.4559616815476191,random,0.4,420,0.12,2114889853
-0.4,-0.6015625,0.783203125,off_first,0.5,0,0.12,2114889853
-0.4,-0.626953125,0.5787556966145834,random,0.5,240,0.12,2114889853
-0.4,-0.619140625,0.7626953125,off_first,0.6,0,0.12,2114889853
-0.4,-0.640625,0.6321847098214286,random,0.6,84,0.12,2114889853
-0.4,-0.576171875,0.7822265625,off_first,0.8,0,0.12,2114889853
-0.4,-0.578125,0.6572265625,random,0.8,12,0.12,2114889853
-0.4,-0.546875,0.763671875,off_first,1.0,0,0.12,2114889853
-0.4,-0.541015625,0.6611328125,random,1.0,1,0.12,2114889853
-0.2,-0.880859375,0.240234375,off_first,0.0,0,0.12,2114889853
-0.2,-1.0,0.0,random,0.0,1,0.12,2114889853
-0.2,-0.646484375,0.73828125,off_first,0.2,0,0.12,2114889853
-0.2,-0.947265625,0.05322265625,random,0.2,420,0.12,2114889853
-0.2,-0.654296875,0.62890625,off_first,0.4,0,0.12,2114889853
-0.2,-0.796875,0.23814174107142855,random,0.4,1260,0.12,2114889853
-0.2,-0.62109375,0.6669921875,off_first,0.5,0,0.12,2114889853
-0.2,-0.71875,0.3391927083333333,random,0.5,36,0.12,2114889853
-0.2,-0.609375,0.6845703125,off_first,0.6,0,0.12,2114889853
-0.2,-0.6796875,0.4062406994047619,random,0.6,420,0.12,2114889853
-0.2,-0.5390625,0.62890625,off_first,0.8,0,0.12,2114889853
-0.2,-0.595703125,0.415283203125,random,0.8,12,0.12,2114889853
-0.2,-0.515625,0.6240234375,off_first,1.0,0,0.12,2114889853
-0.2,-0.54296875,0.5146484375,random,1.0,1,0.12,2114889853
0.0,-0.87109375,0.2158203125,off_first,0.0,0,0.12,2114889853
0.0,-1.0,0.0,random,0.0,1,0.12,2114889853
0.0,-0.6875,0.5869140625,off_first,0.2,0,0.12,2114889853
0.0,-0.96875,0.0380859375,random,0.2,15,0.12,2114889853
0.0,-0.6328125,0.6005859375,off_first,0.4,0,0.12,2114889853
0.0,-0.92578125,0.046875,random,0.4,4,0.12,2114889853
0.0,-0.685546875,0.5205078125,off_first,0.5,0,0.12,2114889853
0.0,-0.845703125,0.15687779017857142,random,0.5,84,0.12,2114889853
0.0,-0.66015625,0.45703125,off_first,0.6,0,0.12,2114889853
0.0,-0.818359375,0.14892578125,random,0.6,12,0.12,2114889853
0.0,-0.59765625,0.4873046875,off_first,0.8,0,0.12,2114889853
0.0,-0.75,0.20703125,random,0.8,6,0.12,2114889853
0.0,-0.5859375,0.4638671875,off_first,1.0,0,0.12,2114889853
0.0,-0.6640625,0.3125,random,1.0,1,0.12,2114889853
0.2,-0.9921875,0.001953125,off_first,0.0,0,0.12,2114889853
0.2,-1.0,0.0,random,0.0,1,0.12,2114889853
0.2,-0.814453125,0.330078125,off_first,0.2,0,0.12,2114889853
0.2,-1.0,0.0,random,0.2,1,0.12,2114889853
0.2,-0.796875,0.24609375,off_first,0.4,0,0.12,2114889853
0.2,-0.96875,0.02685546875,random,0.4,6,0.12,2114889853
0.2,-0.71875,0.296875,off_first,0.5,0,0.12,2114889853
0.2,-0.900390625,0.0751953125,random,0.5,6,0.12,2114889853
0.2,-0.77734375,0.30859375,off_first,0.6,0,0.12,2114889853
0.2,-0.931640625,0.06201171875,random,0.6,6,0.12,2114889853
0.2,-0.724609375,0.2587890625,off_first,0.8,0,0.12,2114889853
0.2,-0.86328125,0.09423828125,random,0.8,2,0.12,2114889853
0.2,-0.6484375,0.2763671875,off_first,1.0,0,0.12,2114889853
