init_magnet,Energy,Density,order,init_stab,length
0.8,-1.0,0.0,off_first,0.8,0
0.8,-1.0,0.0,random,0.8,1
0.8,-1.0,0.0,off_first,1.0,0
0.8,-1.0,0.0,random,1.0,1
0.0,-1.0,1.0,off_first,0.0,0
0.0,-0.9375,0.59375,random,0.0,1
0.0,-1.0,1.0,off_first,0.2,0
0.0,-0.8671875,0.484375,random,0.2,12002
0.0,-0.935546875,0.958984375,off_first,0.4,0
0.0,-0.791015625,0.576956084280303,random,0.4,4620
0.0,-0.94921875,0.9599609375,off_first,0.5,0
0.0,-0.767578125,0.535836884469697,random,0.5,264
0.0,-0.87890625,0.91796875,off_first,0.6,0
0.0,-0.703125,0.4844957577284946,random,0.6,186
0.0,-0.79296875,0.85546875,off_first,0.8,0
0.0,-0.654296875,0.53369140625,random,0.8,12
0.0,-0.669921875,0.7119140625,off_first,1.0,0
0.0,-0.6328125,0.513671875,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-0.990234375,0.994140625,off_first,0.2,0
0.2,-0.98046875,0.021647135416666668,random,0.2,12
0.2,-0.845703125,0.794921875,off_first,0.4,0
0.2,-0.876953125,0.1985095146648045,random,0.4,10740
0.2,-0.779296875,0.75,off_first,0.5,0
0.2,-0.861328125,0.16965895432692307,random,0.5,78
0.2,-0.736328125,0.705078125,off_first,0.6,0
0.2,-0.8046875,0.19134114583333334,random,0.6,30
0.2,-0.6640625,0.5986328125,off_first,0.8,0
0.2,-0.740234375,0.234375,random,0.8,6
0.2,-0.599609375,0.4736328125,off_first,1.0,0
0.2,-0.685546875,0.2685546875,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.93359375,0.93359375,off_first,0.2,0
0.4,-1.0,0.0,random,0.2,1
0.4,-0.794921875,0.4404296875,off_first,0.4,0
0.4,-0.95703125,0.0322265625,random,0.4,3
0.4,-0.7890625,0.2861328125,off_first,0.5,0
0.4,-0.94921875,0.03515625,random,0.5,3
0.4,-0.73828125,0.3349609375,off_first,0.6,0
0.4,-0.9453125,0.04069010416666666,random,0.6,3
0.4,-0.765625,0.2109375,off_first,0.8,0
0.4,-0.892578125,0.07373046875,random,0.8,2
0.4,-0.7421875,0.1982421875,off_first,1.0,0
0.4,-0.8203125,0.123046875,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.849609375,0.6240234375,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
0.5,-0.806640625,0.3037109375,off_first,0.4,0
0.5,-1.0,0.0,random,0.4,1
0.5,-0.8515625,0.1923828125,off_first,0.5,0
0.5,-0.958984375,0.03564453125,random,0.5,6
0.5,-0.83984375,0.1875,off_first,0.6,0
0.5,-0.970703125,0.017578125,random,0.6,1
0.5,-0.88671875,0.0732421875,off_first,0.8,0
0.5,-0.966796875,0.0205078125,random,0.8,1
0.5,-0.83203125,0.1181640625,off_first,1.0,0
0.5,-0.93359375,0.0439453125,random,1.0,1
0.6,-1.0,1.0,off_first,0.0,0
0.6,-1.0,0.0,random,0.0,1
0.6,-0.896484375,0.3232421875,off_first,0.2,0
0.6,-1.0,0.0,random,0.2,1
0.6,-0.91796875,0.099609375,off_first,0.4,0
0.6,-1.0,0.0,random,0.4,1
0.6,-0.955078125,0.03515625,off_first,0.5,0
0.6,-1.0,0.0,random,0.5,1
0.6,-0.962890625,0.02734375,off_first,0.6,0
0.6,-1.0,0.0,random,0.6,1
0.6,-0.931640625,0.0517578125,off_first,0.8,0
0.6,-0.982421875,0.009765625,random,0.8,1
0.6,-0.921875,0.05859375,off_first,1.0,0
0.6,-0.9609375,0.0263671875,random,1.0,1
0.8,-0.96875,0.0078125,off_first,0.0,0
0.8,-1.0,0.0,random,0.0,1
0.8,-0.9765625,0.005859375,off_first,0.2,0
0.8,-1.0,0.0,random,0.2,1
0.8,-0.984375,0.00390625,off_first,0.4,0
0.8,-1.0,0.0,random,0.4,1
0.8,-1.0,0.0,off_first,0.5,0
0.8,-1.0,0.0,random,0.5,1
0.8,-1.0,0.0,off_first,0.6,0
