length,$p_{stable}$,Energy,Consensus
15,$1/n^2$,-0.8359375,0.05833333333333333
15,$1/n^{3/2}$,-0.8359375,0.05833333333333333
15,$1/n$,-0.828125,0.16666666666666666
1,$1/\sqrt{n}$,-0.875,0.0
1,$1/{n^{1/3}}$,-0.875,0.0
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-0.875,0.375
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
204,$1/\log(n)$,-0.890625,0.6909466911764706
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1551,$1/{n^{1/3}}$,-0.875,0.6698652079303675
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-0.96875,0.96875
15,$0$,-0.8125,0.13333333333333333
15,$1/n^2$,-0.8125,0.13333333333333333
15,$1/n^{3/2}$,-0.8125,0.13333333333333333
15,$1/n$,-0.8046875,0.26666666666666666
60,$1/\sqrt{n}$,-0.8359375,0.32916666666666666
1,$1/{n^{1/3}}$,-1.0,1.0
15,$1/\log^{2}(n)$,-0.8203125,0.11666666666666667
24,$1/\log(n)$,-0.859375,0.078125
15,$0$,-0.7578125,0.2
15,$1/n^2$,-0.7578125,0.2
15,$1/n^{3/2}$,-0.7578125,0.2
15,$1/n$,-0.7578125,0.2
1,$1/\sqrt{n}$,-1.0,1.0
336,$1/{n^{1/3}}$,-0.8203125,0.314453125
1,$1/\log^{2}(n)$,-1.0,1.0
10,$1/\log(n)$,-0.8671875,0.33203125
15,$0$,-0.828125,0.4083333333333333
15,$1/n^2$,-0.828125,0.4083333333333333
15,$1/n^{3/2}$,-0.828125,0.4083333333333333
15,$1/n$,-0.828125,0.4083333333333333
1,$1/\sqrt{n}$,-0.875,0.625
1,$1/{n^{1/3}}$,-0.96875,0.96875
15,$1/\log^{2}(n)$,-0.8515625,0.18333333333333326
1,$1/\log(n)$,-0.875,0.375
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
