length,init_magnet,Energy,Consensus
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.953125
12,0.0,-0.76953125,0.010416666666666666
30,0.2,-0.857421875,0.7135416666666666
1,0.4,-0.9609375,0.9609375
1,0.6,-0.96875,0.96875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
12,0.0,-0.767578125,0.05533854166666666
12,0.2,-0.826171875,0.5716145833333334
3,0.4,-0.9296875,0.890625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.98046875,0.9765625
12,0.0,-0.759765625,0.0703125
12,0.2,-0.87109375,0.7591145833333334
6,0.4,-0.9296875,0.8896484375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
12,0.0,-0.783203125,0.021158854166666668
12,0.2,-0.89453125,0.8095703125
6,0.4,-0.92578125,0.9111328125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.96875,0.95703125
12,0.0,-0.73046875,0.06412760416666667
6,0.2,-0.853515625,0.6220703125
3,0.4,-0.900390625,0.837890625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
60,0.0,-0.72265625,0.0046875
30,0.2,-0.841796875,0.6725260416666666
2,0.4,-0.953125,0.935546875
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.97265625,0.96875
12,0.0,-0.751953125,0.010416666666666666
12,0.2,-0.796875,0.544921875
6,0.4,-0.923828125,0.8854166666666666
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.9609375
60,0.0,-0.75390625,0.031575520833333336
12,0.2,-0.83203125,0.4554036458333333
6,0.4,-0.94140625,0.8916015625
1,0.6,-0.9765625,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.9765625,0.9700520833333334
12,0.0,-0.724609375,0.029947916666666668
60,0.2,-0.814453125,0.53125
12,0.4,-0.857421875,0.75390625
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.9765625,0.9674479166666666
12,0.0,-0.73046875,0.009114583333333334
12,0.2,-0.8359375,0.6907552083333334
12,0.4,-0.92578125,0.8489583333333334
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
60,0.0,-0.763671875,0.055989583333333336
12,0.2,-0.89453125,0.7828776041666666
6,0.4,-0.9375,0.9140625
1,0.6,-0.9765625,0.96875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
12,0.0,-0.736328125,0.107421875
12,0.2,-0.845703125,0.6611328125
12,0.4,-0.9609375,0.9518229166666666
1,0.6,-0.986328125,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
12,0.0,-0.740234375,0.04654947916666666
12,0.2,-0.81640625,0.5172526041666666
4,0.4,-0.9609375,0.953125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.96875,0.9580078125
60,0.0,-0.771484375,0.06282552083333333
12,0.2,-0.853515625,0.6578776041666666
6,0.4,-0.943359375,0.890625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.95703125,0.953125
12,0.0,-0.73828125,0.07942708333333333
6,0.2,-0.857421875,0.6845703125
12,0.4,-0.955078125,0.9381510416666666
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
12,0.0,-0.73828125,0.13671875
12,0.2,-0.810546875,0.6451822916666666
1,0.4,-0.96875,0.96875
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9609375,0.9609375
12,0.0,-0.75390625,0.13509114583333334
12,0.2,-0.8671875,0.7740885416666666
6,0.4,-0.94140625,0.8802083333333334
1,0.6,-0.97265625,0.96875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.75390625,0.1552734375
60,0.2,-0.810546875,0.51953125
1,0.4,-0.947265625,0.94140625
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.93359375,0.8837890625
12,0.0,-0.740234375,0.08854166666666667
60,0.2,-0.826171875,0.564453125
3,0.4,-0.9375,0.92578125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
12,0.0,-0.736328125,0.06315104166666667
12,0.2,-0.8046875,0.5999348958333334
6,0.4,-0.9140625,0.8388671875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.740234375,0.004557291666666667
60,0.2,-0.869140625,0.7786458333333334
2,0.4,-0.943359375,0.9140625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.96875,0.9296875
12,0.0,-0.76953125,0.046875
12,0.2,-0.91796875,0.8017578125
3,0.4,-0.958984375,0.9453125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.96875,0.927734375
60,0.0,-0.748046875,0.0244140625
12,0.2,-0.830078125,0.6422526041666666
60,0.4,-0.951171875,0.8977864583333334
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
60,0.0,-0.7890625,0.16569010416666666
12,0.2,-0.853515625,0.75390625
1,0.4,-0.9765625,0.9765625
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
60,0.0,-0.728515625,0.06868489583333333
60,0.2,-0.8203125,0.5755208333333334
6,0.4,-0.900390625,0.8509114583333334
6,0.6,-0.970703125,0.9541015625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.720703125,0.2526041666666667
60,0.2,-0.77734375,0.3779296875
3,0.4,-0.943359375,0.8990885416666666
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.966796875,0.953125
60,0.0,-0.76953125,0.12532552083333334
6,0.2,-0.876953125,0.7763671875
3,0.4,-0.927734375,0.890625
1,0.6,-0.9921875,0.9921875
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.75,0.02766927083333333
12,0.2,-0.791015625,0.4225260416666667
3,0.4,-0.955078125,0.931640625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.9609375,0.9381510416666666
12,0.0,-0.779296875,0.07259114583333333
12,0.2,-0.796875,0.4632161458333333
12,0.4,-0.953125,0.9166666666666666
3,0.6,-0.96875,0.95703125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.7734375,0.12858072916666666
6,0.2,-0.841796875,0.69921875
3,0.4,-0.9609375,0.927734375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.958984375,0.9296875
12,0.0,-0.736328125,0.05533854166666666
60,0.2,-0.826171875,0.6702473958333334
