energy,p_a
42.0,0.8
42.0,0.8
46.0,0.8
46.5,0.8
36.5,0.8
37.0,0.8
36.5,0.8
34.5,0.8
40.5,0.8
45.0,0.8
52.5,0.8
36.5,0.8
44.0,0.8
39.5,0.8
44.0,0.8
43.5,0.8
48.0,0.8
44.5,0.8
30.5,0.8
41.0,0.8
38.0,0.8
34.0,0.8
49.0,0.8
40.5,0.8
43.0,0.8
38.5,0.8
36.5,0.8
39.5,0.8
32.0,0.8
27.0,0.8
49.0,0.8
36.0,0.8
36.5,0.8
44.0,0.8
41.5,0.8
41.0,0.8
