length,p_a
35.0,0.25000000000000006
10.0,0.25000000000000006
110.0,0.25000000000000006
1.0,0.25000000000000006
70.0,0.25000000000000006
110.0,0.25000000000000006
15.0,0.25000000000000006
10.0,0.25000000000000006
1.0,0.25000000000000006
1.0,0.25000000000000006
1.0,0.25000000000000006
22.0,0.25000000000000006
10.0,0.25000000000000006
33.0,0.25000000000000006
60.0,0.25000000000000006
70.0,0.25000000000000006
10.0,0.25000000000000006
20.0,0.25000000000000006
202.0,0.25000000000000006
15.0,0.25000000000000006
202.0,0.25000000000000006
30.0,0.25000000000000006
30.0,0.25000000000000006
140.0,0.25000000000000006
12.0,0.25000000000000006
20.0,0.25000000000000006
70.0,0.25000000000000006
20.0,0.25000000000000006
20.0,0.25000000000000006
15.0,0.25000000000000006
1.0,0.25000000000000006
15.0,0.25000000000000006
10.0,0.25000000000000006
15.0,0.25000000000000006
28.0,0.25000000000000006
202.0,0.25000000000000006
44.0,0.25000000000000006
20.0,0.25000000000000006
12.0,0.25000000000000006
10.0,0.25000000000000006
1.0,0.25000000000000006
110.0,0.25000000000000006
10.0,0.25000000000000006
60.0,0.25000000000000006
4.0,0.25000000000000006
3.0,0.25000000000000006
4.0,0.25000000000000006
30.0,0.25000000000000006
30.0,0.25000000000000006
30.0,0.25000000000000006
60.0,0.25000000000000006
202.0,0.25000000000000006
20.0,0.25000000000000006
140.0,0.25000000000000006
1.0,0.25000000000000006
3.0,0.25000000000000006
202.0,0.25000000000000006
20.0,0.25000000000000006
60.0,0.25000000000000006
202.0,0.25000000000000006
202.0,0.25000000000000006
110.0,0.25000000000000006
20.0,0.25000000000000006
202.0,0.25000000000000006
30.0,0.25000000000000006
202.0,0.25000000000000006
10.0,0.25000000000000006
110.0,0.25000000000000006
110.0,0.25000000000000006
1.0,0.25000000000000006
10.0,0.25000000000000006
4.0,0.25000000000000006
12.0,0.25000000000000006
12.0,0.25000000000000006
6.0,0.25000000000000006
10.0,0.25000000000000006
11.0,0.25000000000000006
30.0,0.25000000000000006
10.0,0.25000000000000006
20.0,0.25000000000000006
21.0,0.25000000000000006
28.0,0.25000000000000006
20.0,0.25000000000000006
202.0,0.25000000000000006
15.0,0.25000000000000006
3.0,0.25000000000000006
110.0,0.25000000000000006
110.0,0.25000000000000006
30.0,0.25000000000000006
20.0,0.25000000000000006
1.0,0.25000000000000006
44.0,0.25000000000000006
33.0,0.25000000000000006
60.0,0.25000000000000006
21.0,0.25000000000000006
22.0,0.25000000000000006
10.0,0.25000000000000006
202.0,0.25000000000000006
110.0,0.25000000000000006
30.0,0.25000000000000006
20.0,0.25000000000000006
202.0,0.25000000000000006
12.0,0.25000000000000006
55.0,0.25000000000000006
15.0,0.25000000000000006
110.0,0.25000000000000006
110.0,0.25000000000000006
1.0,0.25000000000000006
140.0,0.25000000000000006
30.0,0.25000000000000006
44.0,0.25000000000000006
1.0,0.25000000000000006
10.0,0.25000000000000006
30.0,0.25000000000000006
132.0,0.25000000000000006
70.0,0.25000000000000006
10.0,0.25000000000000006
202.0,0.25000000000000006
110.0,0.25000000000000006
10.0,0.25000000000000006
10.0,0.25000000000000006
132.0,0.25000000000000006
20.0,0.25000000000000006
12.0,0.25000000000000006
20.0,0.25000000000000006
202.0,0.25000000000000006
202.0,0.25000000000000006
105.0,0.25000000000000006
202.0,0.25000000000000006
70.0,0.25000000000000006
30.0,0.25000000000000006
60.0,0.25000000000000006
110.0,0.25000000000000006
60.0,0.25000000000000006
35.0,0.25000000000000006
12.0,0.25000000000000006
33.0,0.25000000000000006
10.0,0.25000000000000006
84.0,0.25000000000000006
202.0,0.25000000000000006
202.0,0.25000000000000006
12.0,0.25000000000000006
28.0,0.25000000000000006
1.0,0.25000000000000006
202.0,0.25000000000000006
20.0,0.25000000000000006
10.0,0.25000000000000006
11.0,0.25000000000000006
202.0,0.25000000000000006
10.0,0.25000000000000006
20.0,0.25000000000000006
202.0,0.25000000000000006
12.0,0.25000000000000006
202.0,0.25000000000000006
3.0,0.25000000000000006
33.0,0.25000000000000006
202.0,0.25000000000000006
202.0,0.25000000000000006
20.0,0.25000000000000006
20.0,0.25000000000000006
28.0,0.25000000000000006
28.0,0.25000000000000006
55.0,0.25000000000000006
60.0,0.25000000000000006
35.0,0.25000000000000006
202.0,0.25000000000000006
20.0,0.25000000000000006
5.0,0.25000000000000006
12.0,0.25000000000000006
12.0,0.25000000000000006
28.0,0.25000000000000006
21.0,0.25000000000000006
60.0,0.25000000000000006
110.0,0.25000000000000006
30.0,0.25000000000000006
22.0,0.25000000000000006
20.0,0.25000000000000006
1.0,0.25000000000000006
2.0,0.25000000000000006
12.0,0.25000000000000006
84.0,0.25000000000000006
110.0,0.25000000000000006
21.0,0.25000000000000006
20.0,0.25000000000000006
10.0,0.25000000000000006
10.0,0.25000000000000006
12.0,0.25000000000000006
202.0,0.16666666666666666
3.0,0.16666666666666666
202.0,0.16666666666666666
60.0,0.16666666666666666
70.0,0.16666666666666666
202.0,0.16666666666666666
12.0,0.16666666666666666
3.0,0.16666666666666666
60.0,0.16666666666666666
14.0,0.16666666666666666
2.0,0.16666666666666666
84.0,0.16666666666666666
84.0,0.16666666666666666
60.0,0.16666666666666666
70.0,0.16666666666666666
12.0,0.16666666666666666
42.0,0.16666666666666666
30.0,0.16666666666666666
30.0,0.16666666666666666
21.0,0.16666666666666666
202.0,0.16666666666666666
12.0,0.16666666666666666
4.0,0.16666666666666666
84.0,0.16666666666666666
12.0,0.16666666666666666
14.0,0.16666666666666666
30.0,0.16666666666666666
60.0,0.16666666666666666
60.0,0.16666666666666666
202.0,0.16666666666666666
60.0,0.16666666666666666
84.0,0.16666666666666666
202.0,0.16666666666666666
84.0,0.16666666666666666
60.0,0.16666666666666666
30.0,0.16666666666666666
20.0,0.16666666666666666
60.0,0.16666666666666666
30.0,0.16666666666666666
60.0,0.16666666666666666
21.0,0.16666666666666666
202.0,0.16666666666666666
12.0,0.16666666666666666
1.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
12.0,0.16666666666666666
1.0,0.16666666666666666
3.0,0.16666666666666666
21.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
12.0,0.16666666666666666
140.0,0.16666666666666666
21.0,0.16666666666666666
60.0,0.16666666666666666
70.0,0.16666666666666666
7.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
60.0,0.16666666666666666
84.0,0.16666666666666666
3.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
60.0,0.16666666666666666
202.0,0.16666666666666666
12.0,0.16666666666666666
202.0,0.16666666666666666
30.0,0.16666666666666666
30.0,0.16666666666666666
60.0,0.16666666666666666
21.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
70.0,0.16666666666666666
60.0,0.16666666666666666
28.0,0.16666666666666666
12.0,0.16666666666666666
60.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
84.0,0.16666666666666666
202.0,0.16666666666666666
28.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
140.0,0.16666666666666666
21.0,0.16666666666666666
21.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
28.0,0.16666666666666666
10.0,0.16666666666666666
1.0,0.16666666666666666
21.0,0.16666666666666666
30.0,0.16666666666666666
7.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
30.0,0.16666666666666666
1.0,0.16666666666666666
10.0,0.16666666666666666
12.0,0.16666666666666666
1.0,0.16666666666666666
10.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
1.0,0.16666666666666666
30.0,0.16666666666666666
3.0,0.16666666666666666
84.0,0.16666666666666666
21.0,0.16666666666666666
70.0,0.16666666666666666
21.0,0.16666666666666666
6.0,0.16666666666666666
12.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
21.0,0.16666666666666666
12.0,0.16666666666666666
14.0,0.16666666666666666
84.0,0.16666666666666666
84.0,0.16666666666666666
30.0,0.16666666666666666
12.0,0.16666666666666666
30.0,0.16666666666666666
4.0,0.16666666666666666
202.0,0.16666666666666666
30.0,0.16666666666666666
84.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
202.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
84.0,0.16666666666666666
202.0,0.16666666666666666
1.0,0.16666666666666666
14.0,0.16666666666666666
10.0,0.16666666666666666
84.0,0.16666666666666666
202.0,0.16666666666666666
10.0,0.16666666666666666
1.0,0.16666666666666666
202.0,0.16666666666666666
12.0,0.16666666666666666
202.0,0.16666666666666666
60.0,0.16666666666666666
10.0,0.16666666666666666
70.0,0.16666666666666666
20.0,0.16666666666666666
202.0,0.16666666666666666
1.0,0.16666666666666666
60.0,0.16666666666666666
60.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
60.0,0.16666666666666666
60.0,0.16666666666666666
30.0,0.16666666666666666
84.0,0.16666666666666666
60.0,0.16666666666666666
30.0,0.16666666666666666
42.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
21.0,0.16666666666666666
202.0,0.16666666666666666
30.0,0.16666666666666666
202.0,0.16666666666666666
84.0,0.16666666666666666
30.0,0.16666666666666666
84.0,0.16666666666666666
202.0,0.16666666666666666
1.0,0.16666666666666666
202.0,0.16666666666666666
12.0,0.16666666666666666
60.0,0.16666666666666666
4.0,0.16666666666666666
84.0,0.16666666666666666
70.0,0.16666666666666666
202.0,0.16666666666666666
1.0,0.16666666666666666
21.0,0.16666666666666666
28.0,0.16666666666666666
21.0,0.16666666666666666
84.0,0.16666666666666666
70.0,0.16666666666666666
4.0,0.16666666666666666
84.0,0.16666666666666666
21.0,0.16666666666666666
84.0,0.16666666666666666
1.0,0.16666666666666666
