p_a,SpinGlass
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-64.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-64.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-60.0
0.125,-64.0
0.125,-64.0
0.125,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-64.0
0.25000000000000006,-64.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-64.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-64.0
0.25000000000000006,-64.0
0.25000000000000006,-64.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-64.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-64.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-64.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-56.0
0.25000000000000006,-52.0
0.25000000000000006,-60.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
0.25000000000000006,-56.0
0.25000000000000006,-60.0
