length,$p_{stable}$,Energy,Consensus
812,$1/\log^{2}(n)$,-0.99609375,0.576171875
20002,$1/\log(n)$,-0.97265625,0.1796875
512,$1/n^{3/2}$,-0.99609375,0.98828125
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.984375,0.33203125
20002,$1/{n^{1/3}}$,-0.94921875,0.205078125
512,$1/\log^{3}(n)$,-0.99609375,0.98828125
20002,$1/\log^{2}(n)$,-0.98828125,0.14453125
20002,$1/\log(n)$,-0.97265625,0.177734375
512,$1/n^{3/2}$,-0.984375,0.28515625
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.458984375
780,$1/\sqrt{n}$,-0.9921875,0.59765625
20002,$1/{n^{1/3}}$,-0.94140625,0.015625
20002,$1/\log^{3}(n)$,-0.99609375,0.064453125
3250,$1/\log^{2}(n)$,-0.99609375,0.1723858173076923
20002,$1/\log(n)$,-0.95703125,0.208984375
512,$1/n^{3/2}$,-0.9921875,0.81640625
512,$1/n$,-0.9921875,0.81640625
120,$1/{n^{3/4}}$,-0.99609375,0.14879557291666667
20002,$1/\sqrt{n}$,-0.98828125,0.115234375
20002,$1/{n^{1/3}}$,-0.9453125,0.05859375
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.9921875,0.169921875
20002,$1/\log(n)$,-0.96484375,0.142578125
512,$1/n^{3/2}$,-0.984375,0.9296875
1,$1/n$,-1.0,1.0
2548,$1/{n^{3/4}}$,-0.99609375,0.20905949519230768
20002,$1/\sqrt{n}$,-0.9921875,0.015625
20002,$1/{n^{1/3}}$,-0.96484375,0.1640625
512,$1/\log^{3}(n)$,-0.984375,0.9296875
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.9609375,0.26171875
512,$1/n^{3/2}$,-0.9921875,0.57421875
1,$1/n$,-1.0,1.0
3944,$1/{n^{3/4}}$,-0.99609375,0.75390625
20002,$1/\sqrt{n}$,-0.984375,0.181640625
20002,$1/{n^{1/3}}$,-0.953125,0.201171875
512,$1/\log^{3}(n)$,-0.9921875,0.57421875
20002,$1/\log^{2}(n)$,-0.9921875,0.388671875
20002,$1/\log(n)$,-0.95703125,0.376953125
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.138671875
20002,$1/\sqrt{n}$,-0.98046875,0.259765625
20002,$1/{n^{1/3}}$,-0.9609375,0.14453125
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.9921875,0.203125
20002,$1/\log(n)$,-0.9609375,0.169921875
512,$1/n^{3/2}$,-0.98046875,0.7265625
1,$1/n$,-1.0,1.0
4680,$1/{n^{3/4}}$,-0.99609375,0.30492955395299143
20002,$1/\sqrt{n}$,-0.984375,0.15234375
20002,$1/{n^{1/3}}$,-0.953125,0.375
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.9921875,0.68359375
2520,$1/\log(n)$,-0.96484375,0.06220703125
512,$1/n^{3/2}$,-0.98046875,0.7734375
1,$1/n$,-1.0,1.0
1744,$1/{n^{3/4}}$,-0.99609375,0.771484375
20002,$1/\sqrt{n}$,-0.984375,0.142578125
20002,$1/{n^{1/3}}$,-0.9453125,0.14453125
1,$1/\log^{3}(n)$,-1.0,1.0
55,$1/\log^{2}(n)$,-0.99609375,0.892578125
20002,$1/\log(n)$,-0.96484375,0.2890625
512,$1/n^{3/2}$,-0.953125,0.4296875
1,$1/n$,-1.0,1.0
13908,$1/{n^{3/4}}$,-0.99609375,0.1282712175546448
2898,$1/\sqrt{n}$,-0.9921875,0.2763671875
20002,$1/{n^{1/3}}$,-0.94921875,0.115234375
512,$1/\log^{3}(n)$,-0.953125,0.4296875
10730,$1/\log^{2}(n)$,-0.99609375,0.2936289535764213
20002,$1/\log(n)$,-0.953125,0.12109375
1,$1/n^{3/2}$,-1.0,1.0
512,$1/n$,-0.9921875,0.9609375
1,$1/{n^{3/4}}$,-1.0,1.0
4209,$1/\sqrt{n}$,-0.9921875,0.283203125
20002,$1/{n^{1/3}}$,-0.94140625,0.046875
1,$1/\log^{3}(n)$,-1.0,1.0
5512,$1/\log^{2}(n)$,-0.99609375,0.2158103909651669
20002,$1/\log(n)$,-0.94921875,0.0078125
512,$1/n^{3/2}$,-0.9765625,0.63671875
20002,$1/n$,-0.99609375,0.25390625
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.98828125,0.25390625
20002,$1/{n^{1/3}}$,-0.94921875,0.07421875
1,$1/\log^{3}(n)$,-1.0,1.0
